PopName,Year,x,n,ax_Female,lx_Female,ex_Female,ax_Male,lx_Male,ex_Male,ax_Both,lx_Both,ex_Both,"United States Mortality Database, October 2019"
CA,2010-2014,0,1,0.06,100000,83.1,0.06,100000,78.58,0.06,100000,80.89,
CA,2010-2014,1,1,0.5,99575,82.45,0.5,99505,77.98,0.5,99539,80.26,
CA,2010-2014,2,1,0.5,99545,81.48,0.5,99472,77,0.5,99508,79.29,
CA,2010-2014,3,1,0.5,99526,80.49,0.5,99449,76.02,0.5,99487,78.3,
CA,2010-2014,4,1,0.5,99513,79.5,0.5,99433,75.03,0.5,99472,77.32,
CA,2010-2014,5,1,0.5,99501,78.51,0.5,99419,74.04,0.5,99459,76.33,
CA,2010-2014,6,1,0.5,99491,77.52,0.5,99408,73.05,0.5,99449,75.33,
CA,2010-2014,7,1,0.5,99481,76.53,0.5,99397,72.06,0.5,99438,74.34,
CA,2010-2014,8,1,0.5,99473,75.54,0.5,99388,71.06,0.5,99430,73.35,
CA,2010-2014,9,1,0.5,99467,74.54,0.5,99379,70.07,0.5,99422,72.35,
CA,2010-2014,10,1,0.5,99459,73.55,0.5,99370,69.08,0.5,99414,71.36,
CA,2010-2014,11,1,0.5,99452,72.55,0.5,99361,68.08,0.5,99405,70.36,
CA,2010-2014,12,1,0.5,99444,71.56,0.5,99350,67.09,0.5,99396,69.37,
CA,2010-2014,13,1,0.5,99434,70.56,0.5,99337,66.1,0.5,99384,68.38,
CA,2010-2014,14,1,0.5,99422,69.57,0.5,99323,65.11,0.5,99371,67.39,
CA,2010-2014,15,1,0.5,99410,68.58,0.5,99304,64.12,0.5,99356,66.4,
CA,2010-2014,16,1,0.5,99396,67.59,0.5,99278,63.14,0.5,99336,65.41,
CA,2010-2014,17,1,0.5,99381,66.6,0.5,99242,62.16,0.5,99310,64.43,
CA,2010-2014,18,1,0.5,99362,65.61,0.5,99197,61.19,0.5,99277,63.45,
CA,2010-2014,19,1,0.5,99338,64.63,0.5,99118,60.24,0.5,99225,62.48,
CA,2010-2014,20,1,0.5,99309,63.65,0.5,99029,59.29,0.5,99165,61.52,
CA,2010-2014,21,1,0.5,99280,62.67,0.5,98930,58.35,0.5,99100,60.56,
CA,2010-2014,22,1,0.5,99245,61.69,0.5,98830,57.41,0.5,99032,59.6,
CA,2010-2014,23,1,0.5,99213,60.71,0.5,98728,56.47,0.5,98964,58.64,
CA,2010-2014,24,1,0.5,99180,59.73,0.5,98626,55.52,0.5,98895,57.68,
CA,2010-2014,25,1,0.5,99147,58.75,0.5,98523,54.58,0.5,98826,56.72,
CA,2010-2014,26,1,0.5,99109,57.77,0.5,98418,53.64,0.5,98754,55.76,
CA,2010-2014,27,1,0.5,99071,56.79,0.5,98321,52.69,0.5,98686,54.8,
CA,2010-2014,28,1,0.5,99032,55.81,0.5,98222,51.74,0.5,98616,53.84,
CA,2010-2014,29,1,0.5,98993,54.84,0.5,98122,50.8,0.5,98546,52.88,
CA,2010-2014,30,1,0.5,98953,53.86,0.5,98016,49.85,0.5,98472,51.92,
CA,2010-2014,31,1,0.5,98907,52.88,0.5,97907,48.91,0.5,98393,50.96,
CA,2010-2014,32,1,0.5,98859,51.91,0.5,97800,47.96,0.5,98315,50,
CA,2010-2014,33,1,0.5,98809,50.93,0.5,97686,47.01,0.5,98233,49.04,
CA,2010-2014,34,1,0.5,98757,49.96,0.5,97570,46.07,0.5,98148,48.08,
CA,2010-2014,35,1,0.5,98701,48.99,0.5,97450,45.13,0.5,98060,47.12,
CA,2010-2014,36,1,0.5,98638,48.02,0.5,97327,44.18,0.5,97967,46.17,
CA,2010-2014,37,1,0.5,98572,47.05,0.5,97203,43.24,0.5,97872,45.21,
CA,2010-2014,38,1,0.5,98504,46.08,0.5,97072,42.3,0.5,97771,44.26,
CA,2010-2014,39,1,0.5,98425,45.12,0.5,96933,41.36,0.5,97663,43.31,
CA,2010-2014,40,1,0.5,98340,44.16,0.5,96791,40.42,0.5,97549,42.36,
CA,2010-2014,41,1,0.5,98246,43.2,0.5,96634,39.48,0.5,97423,41.41,
CA,2010-2014,42,1,0.5,98145,42.24,0.5,96461,38.55,0.5,97286,40.47,
CA,2010-2014,43,1,0.5,98037,41.29,0.5,96271,37.63,0.5,97136,39.53,
CA,2010-2014,44,1,0.5,97911,40.34,0.5,96068,36.7,0.5,96971,38.6,
CA,2010-2014,45,1,0.5,97770,39.4,0.5,95850,35.79,0.5,96792,37.67,
CA,2010-2014,46,1,0.5,97627,38.46,0.5,95612,34.87,0.5,96600,36.74,
CA,2010-2014,47,1,0.5,97457,37.52,0.5,95345,33.97,0.5,96382,35.82,
CA,2010-2014,48,1,0.5,97275,36.59,0.5,95045,33.08,0.5,96140,34.91,
CA,2010-2014,49,1,0.5,97073,35.67,0.5,94713,32.19,0.5,95873,34.01,
CA,2010-2014,50,1,0.5,96847,34.75,0.5,94343,31.31,0.5,95574,33.11,
CA,2010-2014,51,1,0.5,96602,33.84,0.5,93954,30.44,0.5,95256,32.22,
CA,2010-2014,52,1,0.5,96326,32.93,0.5,93528,29.58,0.5,94905,31.34,
CA,2010-2014,53,1,0.5,96037,32.03,0.5,93065,28.72,0.5,94528,30.46,
CA,2010-2014,54,1,0.5,95724,31.13,0.5,92564,27.88,0.5,94122,29.59,
CA,2010-2014,55,1,0.5,95386,30.24,0.5,92020,27.04,0.5,93680,28.73,
CA,2010-2014,56,1,0.5,95012,29.36,0.5,91417,26.21,0.5,93192,27.88,
CA,2010-2014,57,1,0.5,94620,28.48,0.5,90782,25.39,0.5,92679,27.03,
CA,2010-2014,58,1,0.5,94196,27.6,0.5,90084,24.59,0.5,92119,26.19,
CA,2010-2014,59,1,0.5,93753,26.73,0.5,89338,23.79,0.5,91526,25.36,
CA,2010-2014,60,1,0.5,93272,25.87,0.5,88534,23,0.5,90885,24.53,
CA,2010-2014,61,1,0.5,92745,25.01,0.5,87683,22.22,0.5,90198,23.72,
CA,2010-2014,62,1,0.5,92179,24.16,0.5,86788,21.44,0.5,89470,22.9,
CA,2010-2014,63,1,0.5,91589,23.31,0.5,85841,20.67,0.5,88704,22.1,
CA,2010-2014,64,1,0.5,90923,22.48,0.5,84816,19.92,0.5,87861,21.3,
CA,2010-2014,65,1,0.5,90221,21.65,0.5,83751,19.16,0.5,86980,20.52,
CA,2010-2014,66,1,0.5,89472,20.83,0.5,82667,18.41,0.5,86067,19.73,
CA,2010-2014,67,1,0.5,88678,20.01,0.5,81492,17.66,0.5,85085,18.95,
CA,2010-2014,68,1,0.5,87804,19.21,0.5,80260,16.93,0.5,84036,18.18,
CA,2010-2014,69,1,0.5,86864,18.41,0.5,78926,16.21,0.5,82904,17.42,
CA,2010-2014,70,1,0.5,85851,17.62,0.5,77527,15.49,0.5,81703,16.67,
CA,2010-2014,71,1,0.5,84728,16.85,0.5,76006,14.79,0.5,80387,15.93,
CA,2010-2014,72,1,0.5,83531,16.08,0.5,74397,14.1,0.5,78991,15.21,
CA,2010-2014,73,1,0.5,82253,15.32,0.5,72667,13.42,0.5,77495,14.49,
CA,2010-2014,74,1,0.5,80860,14.58,0.5,70845,12.75,0.5,75896,13.79,
CA,2010-2014,75,1,0.5,79328,13.85,0.5,68910,12.1,0.5,74170,13.1,
CA,2010-2014,76,1,0.5,77646,13.14,0.5,66812,11.46,0.5,72289,12.42,
CA,2010-2014,77,1,0.5,75815,12.45,0.5,64589,10.84,0.5,70272,11.77,
CA,2010-2014,78,1,0.5,73818,11.77,0.5,62197,10.24,0.5,68090,11.13,
CA,2010-2014,79,1,0.5,71707,11.1,0.5,59729,9.64,0.5,65810,10.49,
CA,2010-2014,80,1,0.5,69420,10.45,0.5,57116,9.06,0.5,63372,9.88,
CA,2010-2014,81,1,0.5,66925,9.82,0.5,54312,8.5,0.5,60734,9.29,
CA,2010-2014,82,1,0.5,64262,9.21,0.5,51360,7.96,0.5,57940,8.71,
CA,2010-2014,83,1,0.5,61417,8.61,0.5,48263,7.44,0.5,54984,8.15,
CA,2010-2014,84,1,0.5,58337,8.04,0.5,45047,6.93,0.5,51853,7.61,
CA,2010-2014,85,1,0.5,55002,7.5,0.5,41668,6.46,0.5,48517,7.1,
CA,2010-2014,86,1,0.5,51446,6.98,0.5,38121,6.01,0.5,44991,6.62,
CA,2010-2014,87,1,0.5,47751,6.48,0.5,34591,5.57,0.5,41401,6.15,
CA,2010-2014,88,1,0.5,43859,6.01,0.5,30988,5.16,0.5,37676,5.71,
CA,2010-2014,89,1,0.5,39812,5.57,0.5,27341,4.78,0.5,33847,5.3,
CA,2010-2014,90,1,0.5,35680,5.16,0.5,23736,4.43,0.5,29992,4.92,
CA,2010-2014,91,1,0.5,31475,4.78,0.5,20278,4.11,0.5,26163,4.56,
CA,2010-2014,92,1,0.5,27371,4.42,0.5,16993,3.8,0.5,22467,4.23,
CA,2010-2014,93,1,0.5,23330,4.1,0.5,13952,3.52,0.5,18917,3.93,
CA,2010-2014,94,1,0.5,19560,3.8,0.5,11159,3.28,0.5,15628,3.65,
CA,2010-2014,95,1,0.5,16028,3.52,0.5,8692,3.07,0.5,12612,3.41,
CA,2010-2014,96,1,0.5,12868,3.26,0.5,6652,2.86,0.5,10006,3.16,
CA,2010-2014,97,1,0.5,10081,3.03,0.5,4956,2.66,0.5,7745,2.94,
CA,2010-2014,98,1,0.5,7693,2.81,0.5,3589,2.49,0.5,5839,2.74,
CA,2010-2014,99,1,0.5,5708,2.62,0.5,2522,2.33,0.5,4280,2.55,
CA,2010-2014,100,1,0.5,4111,2.44,0.5,1718,2.18,0.5,3045,2.38,
CA,2010-2014,101,1,0.5,2869,2.28,0.5,1132,2.05,0.5,2100,2.23,
CA,2010-2014,102,1,0.5,1937,2.14,0.5,722,1.94,0.5,1402,2.1,
CA,2010-2014,103,1,0.5,1264,2.01,0.5,445,1.83,0.5,905,1.97,
CA,2010-2014,104,1,0.5,797,1.89,0.5,264,1.74,0.5,564,1.86,
CA,2010-2014,105,1,0.5,484,1.79,0.5,152,1.65,0.5,339,1.76,
CA,2010-2014,106,1,0.5,284,1.7,0.5,84,1.58,0.5,197,1.68,
CA,2010-2014,107,1,0.5,161,1.62,0.5,45,1.51,0.5,110,1.6,
CA,2010-2014,108,1,0.5,88,1.55,0.5,23,1.46,0.5,60,1.54,
CA,2010-2014,109,1,0.5,46,1.5,0.5,12,1.41,0.5,31,1.49,
CA,2010-2014,110+,Inf,1.46,23,1.46,1.39,6,1.39,1.45,16,1.45,
