x,n,Year,GEO.display-label,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,"Extract of table downloaded from https://factfinder.census.gov/bkmk/table/1.0/en/PEP/2018/PEPAGESEX/0400000US06.05000 in August 2019, with Internet Explorer"
0,5,2010,est72010sex2_age0to4,47456,30,737,6138,974,848,32954,856,4595,38630,1057,3762,6687,505,35936,6286,1761,764,314952,5937,6775,390,2563,10833,275,444,15893,3935,2108,93289,10244,423,79611,49351,2014,77433,99962,17291,26410,6556,22662,13553,60726,7347,4981,77,1176,12982,13766,19423,3513,2137,286,20017,1141,27159,6113,2991,
5,5,2010,est72010sex2_age5to9,46336,44,823,6108,1077,815,35316,739,5452,36913,1057,3619,6830,460,33784,5675,1732,739,308982,5880,7566,397,2617,10887,265,403,14850,4170,2423,97023,11551,489,82203,48139,2139,76649,94830,14062,26848,6805,21968,12947,59763,7355,5157,62,1201,13323,14279,19603,3526,2100,310,19594,1205,28056,6061,2804,
10,5,2010,est72010sex2_age10to14,44585,42,931,6280,1331,810,36415,854,6057,36906,1063,3511,6927,543,33569,5568,1835,906,329833,5654,7124,481,2645,10723,300,389,14147,4412,2765,102614,12310,483,87083,48594,2234,82015,96533,12838,27379,6938,20767,12888,55650,7418,5394,64,1317,13915,14529,19831,3538,2199,384,19153,1400,29292,6121,2705,
15,5,2010,est72010sex2_age15to19,48627,27,942,8514,1297,802,35623,867,5948,39023,1028,4781,7296,538,34345,5386,1976,891,366133,5696,6145,506,2590,11722,293,392,15626,4630,2948,109730,11778,612,90656,50820,2204,86533,106356,17363,27802,10429,19940,18686,54967,11122,5932,79,1244,14632,16091,20409,3420,2229,383,18707,1471,30937,9910,2621,
20,5,2010,est72010sex2_age20to24,52945,20,663,11112,897,605,29406,691,4138,37003,857,5967,6026,399,29795,5255,1644,641,369468,5525,4565,384,2242,9850,209,494,14811,3863,2093,104568,8754,444,76528,51201,1705,78170,122821,30902,23479,12105,18739,20557,53148,11905,5410,57,1044,13828,15413,18544,3024,1828,240,15719,1261,26639,14269,2629,
25,5,2010,est72010sex2_age25to29,57334,27,716,6934,865,697,32488,735,4147,34434,847,4986,5512,517,28761,5160,1597,707,373351,5679,5493,409,2644,8823,210,575,14798,4022,2255,104600,9752,402,71706,54328,1715,72785,120079,44034,22617,7765,23604,14402,64509,8320,5232,60,1108,13809,15201,18161,3289,1744,281,15863,1197,26144,7464,2698,
30,5,2010,est72010sex2_age30to34,58480,26,678,5787,886,675,33489,659,4276,30691,830,4415,5144,461,26951,4724,1544,666,356326,5500,6265,400,2507,8354,240,432,13880,3993,2339,98489,9978,432,70350,49628,1789,68759,108354,38845,22529,6757,25337,12605,66812,7953,4696,59,983,12987,14451,16926,3021,1670,297,14662,1145,25368,6513,2495,
35,5,2010,est72010sex2_age35to39,58057,20,771,5579,993,656,36177,647,4979,28631,817,3666,5290,464,25749,4214,1635,752,357545,5256,8065,393,2440,8109,210,426,12901,4163,2291,107596,11187,410,72972,47736,1803,68991,104369,32460,22722,6513,26477,11954,69320,7709,4619,76,1037,13058,14274,16606,2935,1755,323,13745,1094,26881,5906,2191,
40,5,2010,est72010sex2_age40to44,56470,40,898,5867,1326,640,40146,705,6198,28088,841,3392,5503,494,25444,3982,1923,771,357778,5177,10094,483,2489,7752,278,430,12513,4691,2833,114418,12769,525,74311,48064,2056,69219,104590,28171,22811,7192,27838,12399,67926,8539,5272,92,1205,13830,15735,16949,3079,1866,349,13386,1353,28855,6111,2176,
45,5,2010,est72010sex2_age45to49,57773,48,1246,7089,1698,651,43187,942,7913,29467,954,4303,5637,684,26780,4201,2412,949,356335,5389,10546,711,2882,8104,359,565,12720,4971,3737,115985,13856,725,75753,51407,2134,72340,109296,25825,23670,8867,28602,13684,67323,9367,6658,130,1557,15862,18546,17990,3263,2359,535,13597,1780,31762,6425,2328,
50,5,2010,est72010sex2_age50to54,55277,54,1450,7605,2117,703,41399,1061,8531,28245,967,5092,5541,772,25753,3854,2780,1025,339602,5032,10916,885,3410,7460,388,565,13134,5028,4521,108460,13512,948,70117,51242,2008,68899,106982,25189,22359,10405,27728,13813,62239,10176,7048,152,2021,16185,19369,17239,3154,2352,646,12731,2279,31178,6414,2437,
55,5,2010,est72010sex2_age55to59,49350,54,1668,7908,2222,646,36323,975,7684,25126,883,5293,4842,773,21662,3148,2830,1023,293634,4476,10969,869,3782,6277,408,514,11777,4894,4823,91299,12012,1008,59486,45293,1714,57399,93544,24968,19522,10193,24818,12525,52427,10022,6962,177,2084,14528,19105,14827,2761,2188,679,11122,2450,26392,5813,2079,
60,5,2010,est72010sex2_age60to64,41839,54,1690,7053,2116,525,31613,843,6535,20712,710,4551,3868,669,17449,2669,2552,843,242332,3807,10279,732,3645,5245,415,375,10032,4303,4417,77427,11284,945,52246,37685,1299,44943,78500,22685,16260,8608,21882,10628,43736,8098,6278,165,1904,11994,17059,12480,2456,2057,619,9523,2265,22062,4707,1779,
65,5,2010,est72010sex2_age65to69,28452,28,1258,5198,1650,408,22412,642,4667,15063,570,2944,2925,511,13043,1881,1946,556,176608,2926,7403,647,2370,4012,307,245,7043,3217,3234,57756,8932,708,42098,26067,943,31909,55406,15586,12028,6495,15595,8022,32571,5085,4963,107,1437,8045,11473,9149,1976,1708,447,6900,1770,15831,3300,1244,
70,5,2010,est72010sex2_age70to74,20869,22,972,3994,1242,274,16067,494,3191,11384,460,2104,2331,388,9771,1573,1397,386,136516,2202,4952,451,1508,3035,233,209,5126,2320,2219,43649,6780,516,33392,20266,597,23655,42804,13307,8864,4730,11936,6377,25262,3319,3679,89,1010,6006,7747,6977,1531,1308,307,5300,1395,11839,2448,991,
75,5,2010,est72010sex2_age75to79,16595,11,680,3237,839,222,12644,399,2358,9507,370,1689,1984,358,7498,1274,1026,279,110552,1676,3692,368,1168,2493,180,95,4549,1954,1650,35458,5464,343,26652,16510,496,18608,36084,11494,7140,3974,9528,5530,19891,2671,2893,65,790,4790,6189,5675,1258,974,261,4334,1066,9698,1942,675,
80,5,2010,est72010sex2_age80to84,14171,13,588,2963,577,199,10790,298,1889,8123,292,1427,1502,303,5797,921,822,242,91952,1240,3309,235,1041,1915,121,59,3940,1684,1489,29676,4204,275,20919,13797,467,14307,30816,10292,6076,3554,8454,4981,16050,2473,2388,37,665,3847,5814,4701,971,708,165,3408,888,7965,1619,581,
85,5,2010,est72010sex2_age85plus,16646,2,614,3725,610,226,12900,283,1986,8800,329,1709,1225,333,5492,898,854,285,100011,1175,4393,242,1322,1966,123,52,4450,2242,1799,32902,4733,280,20262,15302,435,13884,34668,11624,6559,4006,10140,5893,17879,3073,2573,39,712,3917,7509,4863,1019,740,154,3428,906,9271,1943,470,
0,5,2011,est72011sex2_age0to4,47663,27,694,5960,922,849,32675,848,4335,39097,1037,3708,6864,510,36031,6203,1718,769,315506,5903,6668,379,2555,10663,242,436,16262,3913,2102,93607,10291,423,78916,49098,1996,77457,101766,17798,26356,6535,22717,13656,60452,7440,5044,68,1163,12930,13646,19365,3379,2038,289,20110,1123,27072,6046,2934,
5,5,2011,est72011sex2_age5to9,46522,32,811,6196,1042,809,35521,759,5390,37172,1032,3562,6826,481,34273,5761,1720,706,306991,5899,7679,416,2626,10881,254,426,15273,4172,2360,97058,11660,484,82411,48618,2143,77219,95761,14394,26953,6799,22329,13144,60590,7412,5170,62,1209,13199,14328,19561,3528,2042,317,19742,1208,28146,6136,2867,
10,5,2011,est72011sex2_age10to14,44565,33,905,6182,1276,822,36546,841,5985,36651,1042,3515,6860,514,33553,5474,1753,842,323308,5671,7336,451,2618,10746,287,391,14144,4434,2714,102395,12340,462,86998,48316,2212,80901,95900,13144,27320,6910,20896,12751,56638,7333,5323,67,1324,13848,14474,19713,3489,2165,354,19210,1334,29004,6053,2631,
15,5,2011,est72011sex2_age15to19,47565,29,919,8016,1310,778,35648,814,5812,37540,1022,4686,7120,548,33360,5291,1883,831,356989,5636,6482,498,2508,11482,287,394,15299,4584,2843,107334,11877,561,89300,48774,2248,84754,103730,16346,27263,10585,20040,18376,54977,11307,5596,80,1200,14077,15780,19689,3287,2181,371,18487,1421,30387,9714,2567,
20,5,2011,est72011sex2_age20to24,54627,17,675,11800,924,602,30567,698,4465,38278,874,6345,6269,405,31116,5333,1664,654,379456,5619,4539,418,2283,10348,188,466,15089,3921,2178,108948,9231,464,80526,52847,1722,81307,125087,29607,24537,12430,18910,21784,54087,12517,5688,43,1081,14232,15658,19318,3198,1797,240,16224,1289,27583,15158,2672,
25,5,2011,est72011sex2_age25to29,57730,25,727,6829,889,680,32532,741,4110,34637,865,4643,5532,496,29211,5175,1598,705,376711,5699,5335,419,2529,8895,205,571,14978,4070,2238,105064,9750,385,72817,54748,1719,73777,122121,45410,22721,7457,23744,13805,64698,7893,5218,56,1090,14037,15103,18135,3271,1753,285,15902,1232,26240,6973,2724,
30,5,2011,est72011sex2_age30to34,59622,22,713,5961,893,674,34210,671,4237,31602,832,4619,5212,479,27471,4750,1545,658,359725,5561,6307,409,2547,8503,246,491,14280,4119,2347,100811,10354,456,72294,50872,1808,69905,111747,40269,22952,7059,25924,12724,67808,8119,4906,68,1004,13249,14985,17221,3005,1731,304,14955,1206,25668,6635,2580,
35,5,2011,est72011sex2_age35to39,57594,19,737,5448,935,631,35775,633,4644,28351,801,3684,5210,436,25744,4178,1535,691,350701,5160,7732,388,2381,8034,203,416,12830,4167,2233,104766,10935,394,72382,46883,1732,67991,102835,32325,22437,6369,26265,11700,68681,7561,4428,71,981,12590,13851,16262,2902,1680,313,13770,1051,26119,5856,2137,
40,5,2011,est72011sex2_age40to44,57466,36,902,5863,1291,656,40416,694,6052,28487,832,3443,5443,511,25552,3918,1918,745,361395,5185,10066,459,2526,7846,265,424,12653,4642,2833,116208,12993,489,75476,48857,2057,70004,106142,29220,23235,7211,28095,12282,69224,8489,5257,83,1201,13745,15794,17048,2985,1838,334,13546,1334,28863,6050,2108,
45,5,2011,est72011sex2_age45to49,57191,43,1163,6718,1551,630,42514,877,7495,28883,919,4016,5551,615,26148,4118,2311,905,353636,5285,10510,634,2699,7966,340,527,12522,4863,3461,115435,13591,647,75392,50177,2133,71116,107398,26003,23309,8327,28258,13267,66954,9029,6323,117,1414,15416,17880,17527,3183,2227,489,13366,1634,30955,6287,2240,
50,5,2011,est72011sex2_age50to54,56127,51,1427,7520,2056,705,42050,1038,8589,28849,954,4942,5441,757,26124,3904,2727,981,342290,5033,10992,878,3313,7633,390,575,13204,5083,4451,110975,13849,930,72135,52099,2029,69834,108177,24934,22780,10131,27947,13849,63624,10017,7039,147,1943,16114,19423,17451,3183,2377,644,12865,2191,31647,6391,2451,
55,5,2011,est72011sex2_age55to59,50492,53,1642,7868,2255,617,37325,1014,7829,25604,921,5316,5034,801,22340,3207,2867,1012,302182,4512,10955,844,3681,6465,389,533,11892,4928,4785,94762,12312,997,61835,46569,1764,59611,96494,25279,20012,10419,25509,12747,54218,10118,7031,168,2098,14984,19279,15314,2835,2243,679,11343,2483,27259,5860,2172,
60,5,2011,est72011sex2_age60to64,44078,62,1729,7396,2123,563,33029,871,6922,21848,755,4826,4011,685,18345,2736,2690,868,253109,4009,10572,790,3835,5482,426,407,10511,4466,4692,80852,11883,980,54914,39865,1402,47476,82313,23930,17296,9152,22861,11122,45852,8620,6602,165,2036,12604,18108,12984,2509,2150,654,9846,2345,23114,4939,1866,
65,5,2011,est72011sex2_age65to69,29813,30,1351,5307,1703,404,23659,647,4882,15571,562,3061,2968,521,13354,1984,1984,576,182615,2985,7923,630,2493,4120,312,263,7315,3334,3355,59948,9308,736,43574,27109,992,33154,57970,16095,12410,6721,16273,8184,33760,5468,5022,114,1468,8637,12225,9505,2034,1713,448,7171,1842,16550,3428,1268,
70,5,2011,est72011sex2_age70to74,21627,17,976,4068,1310,290,16848,502,3387,11740,472,2167,2416,383,10072,1599,1433,398,139740,2293,5206,468,1557,3133,235,201,5266,2414,2395,45257,7148,532,34582,20807,646,24366,43942,13361,9231,4899,12336,6502,26218,3468,3809,87,1022,6150,8183,7129,1543,1343,330,5371,1433,12258,2505,997,
75,5,2011,est72011sex2_age75to79,16891,17,698,3240,866,216,12761,373,2360,9516,367,1669,1990,348,7594,1295,1072,281,111740,1672,3715,352,1204,2567,176,104,4437,1978,1632,35968,5570,340,27068,16777,467,18979,36250,11459,7256,4009,9576,5560,20223,2707,2908,64,794,4906,6199,5792,1278,1006,257,4337,1065,9864,1990,704,
80,5,2011,est72011sex2_age80to84,13967,12,573,2868,598,197,10775,307,1891,8115,315,1427,1533,284,5739,948,792,251,91853,1260,3316,241,1009,1931,134,63,3953,1661,1451,29854,4271,257,21012,13723,479,14442,30547,10225,6025,3496,8438,4905,16159,2429,2361,44,656,3906,5699,4628,963,742,171,3390,880,7987,1606,554,
85,5,2011,est72011sex2_age85plus,17310,3,598,3744,610,224,13215,295,2096,9054,328,1750,1310,352,5668,918,877,286,103825,1186,4518,256,1384,2054,129,57,4572,2292,1868,33974,4895,296,21015,15877,463,14386,35656,11935,6813,4080,10478,6054,18719,3088,2638,32,716,4054,7656,5019,1040,748,153,3500,922,9580,1979,489,
0,5,2012,est72012sex2_age0to4,47654,21,691,5899,855,803,31995,818,4187,39009,1005,3596,6979,523,35988,5945,1733,778,313542,5925,6447,371,2552,10482,227,426,16293,3831,2056,93315,10097,400,77750,48423,1968,76235,102007,18299,25911,6542,22801,13745,59857,7491,5072,77,1173,12857,13290,19181,3272,1907,295,19938,1134,26801,5938,2979,
5,5,2012,est72012sex2_age5to9,47254,42,798,6260,1061,820,35745,807,5317,37661,996,3622,6927,489,35216,5792,1725,717,308004,5953,7779,396,2613,11063,249,409,15615,4185,2355,97546,11608,485,83314,49333,2185,77888,97328,14744,27318,6921,22810,13434,61429,7467,5180,63,1202,13089,14324,19790,3536,2097,286,19965,1205,28267,6278,2856,
10,5,2012,est72012sex2_age10to14,44676,38,859,6057,1201,813,36783,810,5830,36283,1029,3525,6740,492,33576,5430,1766,767,316698,5658,7500,419,2601,10790,270,372,14372,4405,2616,101225,12386,454,86459,48090,2190,79360,95254,13254,27120,6900,21177,12634,57167,7209,5253,65,1317,13753,14323,19627,3494,2105,328,19288,1274,28635,6050,2637,
15,5,2012,est72012sex2_age15to19,47300,27,873,7976,1328,743,35407,776,5704,36636,1014,4583,6912,538,32822,5167,1753,842,348958,5523,6641,490,2529,11051,293,389,15103,4517,2703,106413,11868,517,88447,47624,2274,82883,102784,16009,26835,10723,20046,18132,55119,11349,5405,73,1176,13686,15681,19449,3197,2103,359,18245,1382,29786,10144,2472,
20,5,2012,est72012sex2_age20to24,55015,21,727,12489,929,654,31784,713,4633,38927,877,6590,6404,428,32113,5409,1707,639,385705,5616,4666,392,2274,10564,189,433,15277,4066,2183,111788,9472,457,83068,53026,1773,83162,125167,28558,25265,12996,19493,22982,55105,13148,5707,41,1053,14756,15861,19552,3230,1801,234,16725,1310,28701,15717,2696,
25,5,2012,est72012sex2_age25to29,58907,24,683,6514,842,670,32459,722,4015,34694,799,4303,5551,479,29577,5118,1590,685,380172,5591,5141,408,2398,8933,202,554,15080,4054,2214,105126,9457,383,73504,55106,1749,74266,123670,46387,22944,7219,23947,13318,64823,7519,5350,54,1062,14161,15074,18276,3161,1783,261,15743,1233,26055,6674,2792,
30,5,2012,est72012sex2_age30to34,61661,19,736,6069,902,635,34666,679,4350,32458,866,4662,5327,506,27950,4717,1566,660,364395,5493,6217,384,2543,8561,228,511,14621,4173,2379,102818,10568,453,73742,52207,1834,70900,114991,41983,23426,7307,26593,13144,69031,8061,5082,73,1048,13611,15308,17497,3043,1716,316,15334,1213,25853,6829,2603,
35,5,2012,est72012sex2_age35to39,58285,21,732,5435,895,649,35841,620,4541,28409,817,3824,5150,442,25844,4230,1513,635,348106,5032,7603,373,2401,7963,221,397,12950,4178,2300,103054,10898,403,72436,46995,1745,67794,103348,32946,22249,6464,26447,11699,68274,7665,4411,73,943,12486,13901,16244,2839,1653,319,13797,1050,25902,5850,2151,
40,5,2012,est72012sex2_age40to44,58555,38,859,5815,1229,631,40218,672,5853,28623,791,3424,5353,511,25558,3871,1843,766,362824,5048,9914,441,2548,7903,254,433,12775,4636,2686,116326,13021,466,76279,48951,1966,69686,106440,29808,23321,7146,28433,12171,70398,8305,5128,78,1136,13702,15805,16994,2938,1835,328,13541,1299,28579,6079,2061,
45,5,2012,est72012sex2_age45to49,56448,38,1057,6447,1513,642,41870,812,7006,28389,891,3795,5434,558,25730,3996,2188,864,351349,5065,10511,567,2555,7749,304,480,12287,4786,3235,115116,13325,595,74619,49284,2117,69407,105707,26063,22870,7928,27919,12824,66622,8840,5993,103,1338,14965,17195,17104,3056,2108,434,13097,1514,30192,6106,2162,
50,5,2012,est72012sex2_age50to54,56792,45,1421,7359,1948,679,42396,1010,8443,28948,938,4737,5427,769,26340,3885,2622,919,344212,4936,10883,846,3205,7759,373,576,13158,5025,4279,112552,13862,861,73303,52206,2043,70238,108475,25066,23186,9812,28295,13851,64574,9709,6975,144,1791,16131,19281,17487,3191,2411,616,12955,2072,31668,6340,2416,
55,5,2012,est72012sex2_age55to59,51789,47,1603,7847,2243,658,38447,1037,8077,26068,923,5257,5142,803,23101,3341,2892,1018,310831,4519,10924,831,3653,6675,385,506,12245,5024,4800,98219,12807,977,64433,47983,1829,61797,99767,25403,20499,10582,26196,12996,56219,10249,7086,158,2112,15449,19332,15706,2934,2263,690,11728,2468,28082,5977,2234,
60,5,2012,est72012sex2_age60to64,44716,56,1675,7394,2082,552,33277,873,6843,22181,788,4878,4049,677,18538,2724,2672,824,256820,3997,10463,793,3785,5564,401,445,10568,4466,4667,81069,11818,968,55160,40396,1486,48352,82883,24201,17477,9349,22803,11291,46163,8754,6550,165,2012,12704,18245,13033,2443,2136,655,9802,2282,23210,4945,1839,
65,5,2012,est72012sex2_age65to69,32816,36,1508,5838,1849,440,25983,690,5451,16763,587,3370,3154,540,14450,2101,2154,624,195304,3180,8665,673,2828,4411,344,276,8036,3671,3703,65116,10212,814,47020,29905,1060,35896,63696,17553,13556,7350,17682,8810,36292,6137,5418,124,1589,9738,13721,10280,2120,1834,492,7669,2014,18051,3754,1393,
70,5,2012,est72012sex2_age70to74,22526,18,1041,4182,1329,316,17881,522,3628,12234,486,2225,2509,397,10435,1680,1469,420,144226,2357,5629,511,1708,3245,246,205,5486,2515,2555,47234,7461,552,35900,21559,697,25480,45477,13486,9678,5169,12780,6702,27274,3750,3955,86,1057,6493,8812,7435,1581,1394,350,5601,1472,12819,2601,988,
75,5,2012,est72012sex2_age75to79,17223,21,718,3324,937,213,13111,364,2431,9555,369,1667,1996,338,7690,1291,1068,276,113653,1689,3862,347,1212,2561,169,119,4434,2013,1631,36867,5725,343,27786,17181,470,19367,36562,11526,7346,4108,9719,5538,20828,2706,2970,66,796,5000,6297,5928,1351,1040,252,4365,1069,10086,2038,725,
